cell,task,source,metric,n,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | BBH,LLM BBH,llm-inference-bench,BBH,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,3,2,,,,,,,,0.001,0.024,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,3,2,,,,,,,,0.121,0.024,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,3,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | TensorRT-LLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,3,2,,,,,,,,0.144,0.024,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,4,3,,,,,,,,0.159,0.091,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,4,2,,,,,,,,0.317,0.079,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,4,3,,,,,,,,0.054,0.134,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,4,2,,,,,,,,1.202,0.079,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,4,3,,,,,,,,0.269,0.091,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,4,2,,,,,,,,0.088,0.079,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,4,2,,,,,,,,0.211,0.079,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,4,2,,,,,,,,0.615,0.079,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,4,2,,,,,,,,0.336,0.079,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,4,2,,,,,,,,0.116,0.079,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,4,3,,,,,,,,0.172,0.091,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,5,3,,,,,,,,0.015,0.098,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,5,2,,,,,,,,0.187,0.016,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,5,3,,,,,,,,0.014,0.065,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,5,2,,,,,,,,0.665,0.016,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,5,2,,,,,,,,0.047,0.098,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,5,2,,,,,,,,0.048,0.016,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,5,2,,,,,,,,0.199,0.016,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,5,2,,,,,,,,0.309,0.016,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,5,2,,,,,,,,0.228,0.016,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,5,2,,,,,,,,0.015,0.016,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x2 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,5,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,6,3,,,,,,,,0.254,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | BBH,LLM BBH,llm-inference-bench,BBH,6,2,,,,,,,,0.305,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,6,4,,,,,,,,0.144,1.444,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,6,2,,,,,,,,0.61,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,6,5,,,,,,,,0.518,1.444,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,6,2,,,,,,,,0.104,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,6,2,,,,,,,,0.145,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,6,3,,,,,,,,0.6,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,6,2,,,,,,,,0.309,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,6,2,,,,,,,,0.065,1.371,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | TensorRT-LLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,6,4,,,,,,,,0.558,1.444,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,6,5,,,,,,,,0.407,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | BBH,LLM BBH,llm-inference-bench,BBH,6,3,,,,,,,,0.558,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | GPQA,LLM GPQA,llm-inference-bench,GPQA,6,5,,,,,,,,0.197,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,6,3,,,,,,,,1.36,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,6,5,,,,,,,,0.597,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | IFEval,LLM IFEval,llm-inference-bench,IFEval,6,2,,,,,,,,0.088,0.075,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,6,2,,,,,,,,0.211,0.075,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | MMLU,LLM MMLU,llm-inference-bench,MMLU,6,4,,,,,,,,0.968,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,6,3,,,,,,,,0.431,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | MuSR,LLM MuSR,llm-inference-bench,MuSR,6,3,,,,,,,,0.136,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | llama.cpp | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,6,5,,,,,,,,0.56,1.974,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,8,4,,,,,,,,0.263,1.225,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | BBH,LLM BBH,llm-inference-bench,BBH,8,6,0.0,0.2621,0.131,,,,0.7192,0.492,1.248,,excluded: floor at boundary (degenerate)
llm-bench | Nvidia H100 GPU x4 | vLLM | GPQA,LLM GPQA,llm-inference-bench,GPQA,8,4,,,,,,,,0.157,1.225,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,8,4,,,,,,,,1.275,1.248,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,8,4,,,,,,,,0.375,1.225,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | IFEval,LLM IFEval,llm-inference-bench,IFEval,8,3,,,,,,,,0.152,1.248,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,8,4,,,,,,,,0.344,1.248,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | MMLU,LLM MMLU,llm-inference-bench,MMLU,8,5,,,,,,,,0.909,1.248,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,8,5,,,,,,,,0.537,1.248,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | MuSR,LLM MuSR,llm-inference-bench,MuSR,8,4,,,,,,,,0.08,1.248,,excluded: front shorter than six points
llm-bench | Nvidia H100 GPU x4 | vLLM | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,8,3,,,,,,,,0.312,1.225,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | ARC-Challenge,LLM ARC-Challenge,llm-inference-bench,ARC-Challenge,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | BBH,LLM BBH,llm-inference-bench,BBH,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | GPQA,LLM GPQA,llm-inference-bench,GPQA,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | GSM8K,LLM GSM8K,llm-inference-bench,GSM8K,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | HellaSwag,LLM HellaSwag,llm-inference-bench,HellaSwag,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | IFEval,LLM IFEval,llm-inference-bench,IFEval,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | MATH Lvl 5,LLM MATH Lvl 5,llm-inference-bench,MATH Lvl 5,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | MMLU,LLM MMLU,llm-inference-bench,MMLU,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | MMLU-PRO,LLM MMLU-PRO,llm-inference-bench,MMLU-PRO,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | MuSR,LLM MuSR,llm-inference-bench,MuSR,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-bench | SambaNova SN40L x8 | sambaflow | Winogrande,LLM Winogrande,llm-inference-bench,Winogrande,1,1,,,,,,,,,,,excluded: front shorter than six points
llm-perf | 1xA10 | BBH,LLM BBH,llm-perf-task,BBH,1543,12,0.0,0.152,0.076,,,,0.6381,0.465,2.748,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | GPQA,LLM GPQA,llm-perf-task,GPQA,1308,6,0.0,0.0532,0.0266,,,,0.6452,0.157,2.658,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | GSM8K,LLM GSM8K,llm-perf-task,GSM8K,1468,8,0.0,0.523,0.2615,,,,0.5828,1.361,1.586,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | HellaSwag,LLM HellaSwag,llm-perf-task,HellaSwag,1468,12,0.0,0.8321,0.416,,,,0.923,1.565,2.167,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | IFEval,LLM IFEval,llm-perf-task,IFEval,1543,8,0.0,0.2243,0.1122,,,,0.6015,0.877,1.992,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | MATH Lvl 5,LLM MATH Lvl 5,llm-perf-task,MATH Lvl 5,1543,11,0.0,0.1028,0.0514,,,,0.5824,0.355,2.748,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | MMLU,LLM MMLU,llm-perf-task,MMLU,1322,13,0.0,0.4771,0.2386,,,,0.7901,1.143,2.167,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | MMLU-PRO,LLM MMLU-PRO,llm-perf-task,MMLU-PRO,1543,11,0.0,0.1685,0.0843,,,,0.6419,0.471,2.748,,excluded: floor at boundary (degenerate)
llm-perf | 1xA10 | MuSR,LLM MuSR,llm-perf-task,MuSR,1543,2,,,,,,,,0.04,0.491,,excluded: front shorter than six points
llm-perf | 1xA10 | Winogrande,LLM Winogrande,llm-perf-task,Winogrande,1468,8,0.0,0.4928,0.2464,,,,0.8992,1.072,2.167,,excluded: floor at boundary (degenerate)
llm-perf | 1xA100 | GPQA,LLM GPQA,llm-perf-task,GPQA,247,6,0.0,0.0629,0.0315,,,,0.8615,0.165,2.142,,excluded: floor at boundary (degenerate)
llm-perf | 1xA100 | GSM8K,LLM GSM8K,llm-perf-task,GSM8K,284,9,0.0,0.4223,0.2111,,,,0.9035,1.66,3.887,,excluded: floor at boundary (degenerate)
llm-perf | 1xA100 | MATH Lvl 5,LLM MATH Lvl 5,llm-perf-task,MATH Lvl 5,284,6,0.0,0.1478,0.0739,,,,0.7286,0.355,2.111,,excluded: floor at boundary (degenerate)
llm-perf | 1xA100 | MMLU-PRO,LLM MMLU-PRO,llm-perf-task,MMLU-PRO,284,9,0.0,0.1853,0.0927,,,,0.9153,0.66,3.887,,excluded: floor at boundary (degenerate)
llm-perf | 1xA100 | MuSR,LLM MuSR,llm-perf-task,MuSR,284,2,,,,,,,,0.132,0.012,,excluded: front shorter than six points
llm-perf | 1xT4 | BBH,LLM BBH,llm-perf-task,BBH,881,10,0.0,0.1327,0.0663,,,,0.5525,0.448,2.159,,excluded: floor at boundary (degenerate)
llm-perf | 1xT4 | GPQA,LLM GPQA,llm-perf-task,GPQA,745,4,,,,,,,,0.094,2.159,,excluded: front shorter than six points
llm-perf | 1xT4 | GSM8K,LLM GSM8K,llm-perf-task,GSM8K,831,8,0.0,0.5065,0.2532,,,,0.6215,1.361,1.668,,excluded: floor at boundary (degenerate)
llm-perf | 1xT4 | HellaSwag,LLM HellaSwag,llm-perf-task,HellaSwag,831,9,0.0,0.7424,0.3712,,,,0.7371,1.51,1.716,,excluded: floor at boundary (degenerate)
llm-perf | 1xT4 | IFEval,LLM IFEval,llm-perf-task,IFEval,881,9,0.0,0.1953,0.0976,,,,0.5543,0.877,2.089,,excluded: floor at boundary (degenerate)
llm-perf | 1xT4 | MATH Lvl 5,LLM MATH Lvl 5,llm-perf-task,MATH Lvl 5,881,11,0.0,0.0646,0.0323,,,,0.4814,0.22,2.448,,excluded: floor at boundary (degenerate)
llm-perf | 1xT4 | MMLU,LLM MMLU,llm-perf-task,MMLU,737,12,0.0,0.4638,0.2319,,,,0.7899,0.884,1.957,,excluded: floor at boundary (degenerate)
llm-perf | 1xT4 | MMLU-PRO,LLM MMLU-PRO,llm-perf-task,MMLU-PRO,881,9,0.0,0.1319,0.0659,,,,0.514,0.375,2.159,,excluded: floor at boundary (degenerate)
llm-perf | 1xT4 | MuSR,LLM MuSR,llm-perf-task,MuSR,881,2,,,,,,,,0.04,0.491,,excluded: front shorter than six points
llm-perf | 1xT4 | Winogrande,LLM Winogrande,llm-perf-task,Winogrande,831,9,0.0,0.441,0.2205,,,,0.7227,0.905,1.555,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | ARC-Challenge,LLM ARC-Challenge,llm-perf-task,ARC-Challenge,210,5,,,,,,,,0.69,1.669,,excluded: front shorter than six points
llm-perf | 32vCPU-C7i | BBH,LLM BBH,llm-perf-task,BBH,260,7,0.0,0.0841,0.042,,,,0.4901,0.448,2.936,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | GPQA,LLM GPQA,llm-perf-task,GPQA,234,5,,,,,,,,0.094,2.936,,excluded: front shorter than six points
llm-perf | 32vCPU-C7i | GSM8K,LLM GSM8K,llm-perf-task,GSM8K,239,6,0.0,0.376,0.188,,,,0.8961,1.365,2.502,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | HellaSwag,LLM HellaSwag,llm-perf-task,HellaSwag,239,10,0.0,0.4401,0.22,,,,0.9665,1.494,3.217,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | IFEval,LLM IFEval,llm-perf-task,IFEval,260,8,0.0,0.1619,0.0809,,,,0.7042,0.877,3.496,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | MATH Lvl 5,LLM MATH Lvl 5,llm-perf-task,MATH Lvl 5,260,8,0.0,0.0519,0.026,,,,0.7643,0.22,4.047,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | MMLU,LLM MMLU,llm-perf-task,MMLU,216,7,0.0,0.272,0.136,,,,0.8823,0.882,3.598,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | MMLU-PRO,LLM MMLU-PRO,llm-perf-task,MMLU-PRO,260,6,0.0,0.0824,0.0412,,,,0.536,0.375,2.936,,excluded: floor at boundary (degenerate)
llm-perf | 32vCPU-C7i | MuSR,LLM MuSR,llm-perf-task,MuSR,260,2,,,,,,,,0.04,0.506,,excluded: front shorter than six points
llm-perf | 32vCPU-C7i | Winogrande,LLM Winogrande,llm-perf-task,Winogrande,239,9,0.0,0.2451,0.1226,,,,0.9053,0.883,3.054,,excluded: floor at boundary (degenerate)
